,cast,eng_title,other,rating,title
152,"[' Yukun Xin', ' Weimin Huo', ' Xiaotian Wang']",殡棺  /  The Coffin in the Mountain,"['忻钰坤', '霍卫民', '王笑天', '中国大陆', '剧情', '犯罪']",8.7,心迷宫
153,"[' John Woo', 'Fat Chow', ' Leslie']",緃横四海,"['吴宇森', '周润发', '张国荣', '中国香港', '剧情', '喜剧', '动作']",8.8,纵横四海
154,[' Francis Ford Coppola'],The Godfather: Part III,"['弗朗西斯·福特·科波拉', '阿尔·帕西诺', '美国', '剧情']",8.8,教父3
155,[' Szifron'],Relatos salvajes,"['达米安·斯兹弗隆', '达里奥·葛兰帝内提', '阿根廷', '西班牙', '剧情', '喜剧']",8.8,荒蛮故事
156,"[' Clint Eastwood', ' Kevin']",A Perfect World,"['克林特·伊斯特伍德', '凯文·科斯特纳', '美国', '剧情']",9.1,完美的世界
157,"['Marc', ' Matthew']",Dallas Buyers Club,"['马克·瓦雷', '马修·麦康纳', '美国', '剧情', '传记']",8.7,达拉斯买家俱乐部
158,[' Martin McDonagh'],"Three Billboards Outside Ebbing, Missouri","['马丁·麦克唐纳', '弗兰西斯·麦克多蒙德', '美国', '英国', '剧情']",8.7,三块广告牌
159,"[' Barry Levinson', ' Dustin Hoffman']",Rain Man,"['巴瑞·莱文森', '达斯汀·霍夫曼', '美国']",8.7,雨人
160,"[' Quentin Tarantino', ' Jamie Foxx']",Django Unchained,"['昆汀·塔伦蒂诺', '杰米·福克斯', '美国', '剧情', '动作', '西部']",8.7,被解救的姜戈
161,"[' Kar Wai Wong', ' Tony Leung Chiu Wai']",花樣年華,"['王家卫', '梁朝伟', '张曼玉', '中国香港', '剧情']",8.6,花样年华
162,"[' Terry George', ' Don Cheadle']",Hotel Rwanda,"['特瑞·乔治', '唐·钱德尔', '英国', '南非', '意大利', '美国', '剧情', '历史']",8.9,卢旺达饭店
163,"[' Makoto Shinkai', ' Kamiki']",君の名は。,"['新海诚', '神木隆之介', '日本', '剧情', '爱情']",8.4,你的名字。
164,"[' Jessie Nelson', 'Sean Penn', 'Dakota Fanning']",I Am Sam,"['杰茜·尼尔森', '美国', '剧情']",8.9,我是山姆
165,"[' Dingxian Yan', ' Shuchen Wang', ' Zhenghui']",Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,"['严定宪', '王树忱', '梁正晖', '中国大陆', '冒险', '动画']",9.0,哪吒闹海
166,"[' Pete Docter', ' Ronaldo Del Carmen']",Inside Out,"['彼特·道格特', '罗纳尔多·德尔·卡门', '美国', '喜剧', '动画']",8.7,头脑特工队
167,"[' Kenneth Lonergan', ' Casey']",Manchester by the Sea,"['肯尼斯·罗纳根', '卡西·阿弗莱克', '美国', '剧情']",8.6,海边的曼彻斯特
168,"[' Masaya Fujimori', ' Kappei Yamaguchi']",おまえうまそうだな,"['藤森雅也', '山口胜平', '日本', '剧情', '动画']",8.8,你看起来好像很好吃
169,"[' Nick Cassavetes', ' Ryan Gosling']",The Notebook,"['尼克·卡索维茨', '瑞恩·高斯林', '美国', '剧情']",8.5,恋恋笔记本
170,"[' Rich Moore', ' John', 'Reilly']",Wreck-It Ralph,"['瑞奇·莫尔', '·赖利', '美国', '喜剧', '动画', '奇幻']",8.7,无敌破坏王
171,"[' Carlos Saldanha', ' Chris Wedge']",Ice Age,"['卡洛斯·沙尔丹哈', '克里斯·韦奇', '美国', '喜剧', '动画']",8.5,冰川时代
172,[' Ke Guo'],Twenty Two  /  22,"['郭柯', '中国大陆']",8.7,二十二
173,"[' Oury', ' Louis de']",La grande vadrouille,"['杰拉尔·乌里', '路易·德·菲耐斯', '法国', '英国', '喜剧']",8.9,虎口脱险
174,"[' Satoshi Kon', ' Junko Iwao', ' Rica']",Perfect Blue,"['今敏', '岩男润子', '松本梨香', '日本', '动画', '奇幻']",8.9,未麻的部屋
175,"[' Jacques Perrin', ' Jacques Cluzaud']",Océans,"['雅克·贝汉', '雅克·克鲁奥德', '法国', '瑞士', '西班牙', '美国', '阿联酋']",9.1,海洋
176,"[' Morten Tyldum', ' Benedict']",The Imitation Game,"['莫滕·泰杜姆', '本尼迪克特·康伯巴奇', '英国', '美国', '剧情', '传记', '战争']",8.6,模仿游戏
177,"[' Damien Chazelle', ' Miles Teller']",Whiplash,"['达米恩·查泽雷', '迈尔斯·特勒', '美国', '剧情']",8.7,爆裂鼓手
178,"[' Stanley Donen', ' Gene Kelly']",Singin' in the Rain,"['斯坦利·多南', '吉恩·凯利', '美国', '喜剧', '歌舞']",9.0,雨中曲
179,"[' Hannes Holm', ' Rolf']",En man som heter Ove,"['汉内斯·赫尔姆', '罗夫·拉斯加德', '瑞典']",8.8,一个叫欧维的男人决定去死
180,[' Kei Yamamoto'],ハチ公物語,"['山本圭', '井川比佐志', '日本']",9.1,忠犬八公物语
181,"[' Edward Zwick', ' Brad Pitt']",Legends of the Fall,"['爱德华·兹威克', '布拉德·皮特', '美国', '剧情', '爱情', '战争']",8.8,燃情岁月
182,[' Steven Spielberg'],Artificial Intelligence: AI,"['史蒂文·斯皮尔伯格', '海利·乔·奥斯蒙', '美国', '冒险', '剧情']",8.6,人工智能
183,"[' Shuchen Wang', ' Yunda Qian', ' Jianhua']",The Legend of Sealed Book  /  Secrets of the Heavenly Book,"['王树忱', '钱运达', '丁建华', '中国大陆', '动画']",9.2,天书奇谭
184,"[' Hayao Miyazaki', ' Minami Takayama']",魔女の宅急便,"['宫崎骏', '高山南', '佐久间玲', '日本', '动画', '奇幻']",8.6,魔女宅急便
185,"[' Lenny Abrahamson', ' Brie']",Room,"['伦尼·阿伯拉罕森', '布丽·拉尔森', '爱尔兰', '加拿大', '英国', '美国', '剧情']",8.8,房间
186,"[' Mamoru Hosoda', ' Riisa Naka']",時をかける少女,"['细田守', '仲里依纱', '石田卓也', '日本', '剧情', '爱情', '科幻']",8.6,穿越时空的少女
187,"['Andy Wachowski', 'Larry Wachowski', ' Keanu']",The Matrix Revolutions,"['基努·里维斯', '美国', '澳大利亚', '动作']",8.7,黑客帝国3：矩阵革命
188,"[' Christopher Smith', ' Melissa']",Triangle,"['克里斯托弗·史密斯', '梅利莎·乔治', '英国', '澳大利亚', '剧情', '悬疑']",8.4,恐怖游轮
189,"[' Hirokazu Koreeda', ' Haruka Ayase']",海街diary,"['是枝裕和', '绫濑遥', '长泽雅美', '日本', '剧情']",8.7,海街日记
190,"[' Mervyn LeRoy', ' Vivien Leigh']",Waterloo Bridge,"['茂文·勒鲁瓦', '费雯·丽', '美国', '剧情', '爱情']",8.8,魂断蓝桥
191,"[' Steven Spielberg', ' Tye']",Ready Player One,"['史蒂文·斯皮尔伯格', '泰伊·谢里丹', '美国', '动作', '科幻']",8.7,头号玩家
192,"[' Danny Boyle', ' Ewan McGregor']",Trainspotting,"['丹尼·博伊尔', '伊万·麦克格雷格', '英国', '剧情']",8.5,猜火车
193,"[' Paolo Genovese', ' Marco Giallini']",Perfetti sconosciuti,"['保罗·格诺维瑟', '马可·贾利尼', '意大利', '剧情']",8.5,完美陌生人
194,"[' Akira Kurosawa', ' Mifune']",羅生門,"['黑泽明', '三船敏郎', '千秋实', '日本', '犯罪', '剧情']",8.8,罗生门
195,"['Alfred Hitchcock', 'Janet Leigh', 'Anthony Perkins', 'Vera Miles']",Psycho,"['美国', '悬疑', '惊悚']",8.9,惊魂记
196,"[' Stephen Chow', ' Stephen Chow', ' Qiu Yuen']",功夫3D  /  Kung Fu Hustle,"['周星驰', '周星驰', '元秋', '中国大陆', '中国香港', '动作', '喜剧', '犯罪']",8.4,功夫
197,"[' Kar Wai Wong', ' Leslie Cheung', ' Maggie']",阿飛正傳,"['王家卫', '张国荣', '张曼玉', '中国香港', '犯罪', '剧情']",8.5,阿飞正传
198,"[' Tom Tykwer', ' Ben Whishaw']",Perfume: The Story of a Murderer,"['汤姆·提克威', '本·卫肖', '德国', '法国', '西班牙', '美国', '剧情', '犯罪']",8.5,香水
199,"[' Chuan Lu', ' Duobujie', ' Lei Zhang', ' Qi']",Kekexili: Mountain Patrol,"['陆川', '多布杰', '张磊', '亓亮', '中国大陆', '中国香港', '剧情']",8.7,可可西里
200,"[' Paul Greengrass', ' Matt Damon']",The Bourne Supremacy,"['保罗·格林格拉斯', '马特·达蒙', '美国', '德国', '动作', '悬疑']",8.6,谍影重重2
201,"[' Edward Yang', ' Chen Chang', ' Lisa Yang']",牯嶺街少年殺人事件,"['杨德昌', '张震', '杨静怡', '中国台湾', '剧情']",8.8,牯岭街少年杀人事件
202,"[' Stephen Daldry', ' Kate Winslet']",The Reader,"['史蒂芬·戴德利', '凯特·温丝莱特', '美国', '德国', '剧情']",8.5,朗读者
203,"[' Dennis Gansel', ' Vogel']",Die Welle,"['丹尼斯·甘塞尔', '尤尔根·沃格尔', '德国', '剧情']",8.7,浪潮
204,"[' Doug Liman', ' Matt Damon']",The Bourne Identity,"['道格·里曼', '马特·达蒙', '美国', '德国', '捷克', '动作', '悬疑']",8.6,谍影重重
205,"[' Hao Ning', ' Tao Guo', ' Hua Liu', ' Teddy Lin']",Crazy Stone,"['宁浩', '郭涛', '刘桦', '连晋', '中国大陆', '中国香港', '喜剧']",8.4,疯狂的石头
206,"[' Andrew Niccol', ' Nicolas Cage']",Lord of War,"['安德鲁·尼科尔', '尼古拉斯·凯奇', '美国', '法国', '剧情']",8.6,战争之王
207,"[' Aamir Khan', ' Darsheel Safary']",Taare Zameen Par,"['阿米尔·汗', '达席尔·萨法瑞', '印度', '剧情', '儿童']",8.9,地球上的星星
208,[' Puttipong Promsaka Na Sakolnakorn'],สิ่งเล็กเล็กที่เรียกว่า...รัก,"['普特鹏·普罗萨卡·那·萨克那卡林', '泰国', '剧情', '喜剧']",8.3,初恋这件小事
209,"[' Hark Tsui', ' Maggie Cheung', ' Joey Wang']",Green Snake,"['徐克', '张曼玉', '王祖贤', '中国香港', '剧情', '爱情', '奇幻']",8.5,青蛇
210,"[' James Cameron', ' Arnold']",Terminator 2: Judgment Day,"['詹姆斯·卡梅隆', '阿诺·施瓦辛格', '美国', '法国', '动作']",8.6,终结者2：审判日
211,"[' Stephen Chbosky', ' Jacob']",Wonder,"['斯蒂芬·卓博斯基', '雅各布·特伦布莱', '美国', '中国香港', '剧情', '儿童']",8.6,奇迹男孩
212,"[' Richard Linklater', ' Ethan Hawke']",Before Midnight,"['理查德·林克莱特', '伊桑·霍克', '美国', '希腊', '剧情']",8.8,爱在午夜降临前
213,"[' Duncan Jones', ' Jake Gyllenhaal']",Source Code,"['邓肯·琼斯', '杰克·吉伦哈尔', '美国', '加拿大', '科幻', '悬疑']",8.4,源代码
214,"[' Raymond Lee', ' Maggie Cheung', ' Brigitte']",新龍門客棧,"['李惠民', '张曼玉', '林青霞', '中国香港', '中国大陆', '动作', '爱情', '武侠']",8.6,新龙门客栈
215,"[' Hirokazu Koreeda', ' Hiroshi Abe']",歩いても 歩いても,"['是枝裕和', '阿部宽', '夏川结衣', '日本', '剧情']",8.8,步履不停
216,"[' Kabir Khan', ' Salman Khan']",Bajrangi Bhaijaan,"['卡比尔·汗', '萨尔曼·汗', '印度', '剧情', '喜剧']",8.5,小萝莉的猴神大叔
217,"['Quentin Tarantino', ' Brad Pitt']",Inglourious Basterds,"['布拉德·皮特', '梅拉尼·罗兰', '美国', '德国', '剧情']",8.5,无耻混蛋
218,"['ho Yeon', ' Yoo Gong', 'mi Jung']",부산행,"['延尚昊', '孔侑', '郑有美', '韩国', '动作', '惊悚']",8.4,釜山行
219,"[' John Carney', ' Keira Knightley']",Begin Again,"['约翰·卡尼', '凯拉·奈特莉', '美国', '喜剧', '爱情']",8.5,再次出发之纽约遇见你
220,"['  Asghar Farhadi', ' Peyman Moadi']",جدایی نادر از سیمین,"['阿斯哈·法哈蒂', '佩曼·莫阿迪', '伊朗', '法国', '剧情']",8.7,一次别离
221,[' Christopher Nolan'],Following,"['克里斯托弗·诺兰', '杰里米·西奥伯德', '英国', '犯罪', '悬疑']",8.9,追随
222,"['jung Park', 'Jae Lee']",신세계,"['朴勋政', '李政宰', '崔岷植', '韩国', '剧情']",8.7,新世界
223,"[' Edward Zwick', ' Leonardo']",Blood Diamond,"['爱德华·兹威克', '莱昂纳多·迪卡普里奥', '美国', '德国', '剧情', '惊悚']",8.6,血钻
224,[' James Ward Byrkit'],Coherence,"['詹姆斯·沃德·布柯特', '艾米丽·芭尔多尼', '美国', '英国', '科幻', '悬疑']",8.5,彗星来的那一夜
225,"[' Stanley Kubrick', ' Keir Dullea']",2001: A Space Odyssey,"['斯坦利·库布里克', '凯尔·杜拉', '英国', '美国', '科幻', '惊悚']",8.7,2001太空漫游
226,"['Charles Chaplin', ' Charles Chaplin']",City Lights,"['查理·卓别林', '美国', '喜剧', '剧情']",9.3,城市之光
227,[' Ozu'],東京物語,"['小津安二郎', '笠智众', '日本', '剧情']",9.2,东京物语
228,"['Frank Darabont', ' Tom Hanks', ' David']",The Green Mile,"['汤姆·汉克斯', '大卫·摩斯', '美国', '犯罪', '剧情', '奇幻']",8.7,绿里奇迹
229,"[' Paul Haggis', ' Sandra Bullock']",Crash,"['保罗·哈吉斯', '桑德拉·布洛克', '美国', '德国', '犯罪']",8.6,撞车
230,"[' Darren Aronofsky', ' Ellen']",Requiem for a Dream,"['达伦·阿伦诺夫斯基', '艾伦·伯斯汀', '美国']",8.7,梦之安魂曲
231,"[' George Miller', ' Tom Hardy']",Mad Max: Fury Road,"['乔治·米勒', '汤姆·哈迪', '澳大利亚', '美国', '动作', '科幻']",8.6,疯狂的麦克斯4：狂暴之路
232,"[' Thomas McCarthy', ' Mark Ruffalo']",Spotlight,"['托马斯·麦卡锡', '马克·鲁弗洛', '美国', '剧情']",8.8,聚焦
233,"[' Steven Spielberg', ' Henry']",E.T.: The Extra-Terrestrial,"['史蒂文·斯皮尔伯格', '亨利·托马斯', '美国', '剧情']",8.6,E.T. 外星人
234,"[' Ridley Scott', ' Josh Hartnett']",Black Hawk Down,"['雷德利·斯科特', '乔什·哈奈特', '美国', '动作', '历史']",8.6,黑鹰坠落
235,"[' Richard Schenkman', ' David']",The Man from Earth,"['理查德·沙因克曼', '大卫·李·史密斯', '美国', '剧情']",8.5,这个男人来自地球
236,"[' Ridley Scott', ' Geena Davis']",Thelma & Louise,"['雷德利·斯科特', '吉娜·戴维斯', '美国', '法国', '犯罪', '剧情']",8.7,末路狂花
237,"[' Rob Reiner', ' Jack Nicholson']",The Bucket List,"['罗伯·莱纳', '杰克·尼科尔森', '美国', '冒险', '喜剧']",8.6,遗愿清单
238,"['Stanley Kubrick', 'Malcolm McDowell', 'Patrick Magee']",A Clockwork Orange,"['英国', '美国', '犯罪', '剧情']",8.5,发条橙
239,"[' John Woo', ' John Travolta']",Face/Off,"['吴宇森', '约翰·特拉沃尔塔', '美国', '动作', '科幻', '犯罪']",8.4,变脸
240,"[' Tom Hooper', ' Colin Firth']",The King's Speech,"['汤姆·霍珀', '柯林·菲尔斯', '英国', '澳大利亚', '美国', '剧情', '传记']",8.4,国王的演讲
241,"['min Choo', 'ho Song']",그대를 사랑합니다,"['秋昌民', '宋在河', '李顺载', '韩国', '剧情']",9.0,我爱你
242,"[' Michael Bay', ' Sean Connery']",The Rock,"['迈克尔·贝', '肖恩·康纳利', '美国', '动作']",8.6,勇闯夺命岛
243,"[' Andrew Niccol', ' Ethan Hawke']",Gattaca,"['安德鲁·尼科尔', '伊桑·霍克', '美国', '剧情', '科幻']",8.7,千钧一发
244,"['Chris Columbus', ' Daniel Radcliffe']",Harry Potter and the Chamber of Secrets,"['丹尼尔·雷德克里夫', '美国', '英国', '德国', '奇幻']",8.4,哈利·波特与密室
245,"['Alfonso', ' Daniel Radcliffe']",Harry Potter and the Prisoner of Azkaban,"['丹尼尔·雷德克里夫', '英国', '美国', '剧情', '奇幻']",8.5,哈利·波特与阿兹卡班的囚徒
246,"['Sergio Leone', 'Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']","Il buono, il brutto, il cattivo.","['意大利', '西班牙', '西德', '冒险']",9.1,黄金三镖客
247,"[' Bryan Singer', ' Stephen Baldwin']",The Usual Suspects,"['布莱恩·辛格', '史蒂芬·鲍德温', '德国', '美国', '剧情', '犯罪', '悬疑']",8.6,非常嫌疑犯
248,"[' Shen Zhou', ' Lu Liu', ' Suxi Ren', ' Da Li']",Mr. Donkey,"['周申', '刘露', '任素汐', '大力', '中国大陆', '剧情']",8.3,驴得水
249,"[' Makoto Shinkai', ' Kenji Mizuhashi']",秒速5センチメートル,"['新海诚', '水桥研二', '近藤好美', '日本', '动画', '剧情']",8.3,秒速5厘米
