,cast,eng_title,other,rating,title
36,"[' Pete Docter', ' Bob Peterson']",Up,"['彼特·道格特', '鲍勃·彼德森', '美国', '剧情', '喜剧', '动画']",9.0,飞屋环游记
37,"[' Jeffrey Lau', ' Stephen Chow', ' Man Tat']",西遊記第壹佰零壹回之月光寶盒,"['刘镇伟', '周星驰', '吴孟达', '中国香港', '中国大陆', '喜剧', '爱情', '奇幻']",9.0,大话西游之月光宝盒
38,"[' Hayao Miyazaki', ' Chieko']",ハウルの動く城,"['宫崎骏', '倍赏千惠子', '日本', '动画', '奇幻']",9.0,哈尔的移动城堡
39,"[' William Wyler', ' Audrey Hepburn']",Roman Holiday,"['威廉·惠勒', '奥黛丽·赫本', '美国', '喜剧', '剧情']",9.0,罗马假日
40,"[' David Fincher', ' Edward Norton']",Fight Club,"['大卫·芬奇', '爱德华·诺顿', '美国', '德国', '剧情', '动作', '悬疑']",9.0,搏击俱乐部
41,"[' Bernardo Bertolucci', ' John Lone']",The Last Emperor,"['贝纳尔多·贝托鲁奇', '尊龙', '英国', '意大利', '中国大陆', '法国', '剧情', '传记']",9.2,末代皇帝
42,"[' Lee Unkrich', ' Adrian Molina']",Coco,"['李·昂克里奇', '阿德里安·莫利纳', '美国', '喜剧', '动画', '奇幻']",9.0,寻梦环游记
43,"[' Martin Brest', ' Al Pacino']",Scent of a Woman,"['马丁·布莱斯', '阿尔·帕西诺', '美国']",9.0,闻香识女人
44,"['seok Yang', 'ho Song', 'su']",변호인,"['杨宇硕', '宋康昊', '吴达洙', '韩国']",9.2,辩护人
45,"['ik Lee', 'gu Sol', 'won Uhm']",소원,"['李濬益', '薛景求', '严志媛', '韩国']",9.2,素媛
46,[' Florian Henckel von Donnersmarck'],Das Leben der Anderen,"['弗洛里安·亨克尔·冯·多纳斯马尔克', '德国', '剧情']",9.1,窃听风暴
47,"[' Peter Weir', ' Robin Williams']",Dead Poets Society,"['彼得·威尔', '罗宾·威廉姆斯', '美国']",9.0,死亡诗社
48,"['Guy Ritchie', 'Jason Flemyng', 'Dexter Fletcher', 'Nick Moran']","Lock, Stock and Two Smoking Barrels","['英国', '剧情', '喜剧']",9.1,两杆大烟枪
49,"[' Forman', ' Jack']",One Flew Over the Cuckoo's Nest,"['米洛斯·福尔曼', '杰克·尼科尔森', '美国']",9.1,飞越疯人院
50,"[' Peter Jackson', ' Elijah Wood']",The Lord of the Rings: The Two Towers,"['彼得·杰克逊', '伊利亚·伍德', '美国', '新西兰', '剧情', '动作', '奇幻']",9.0,指环王2：双塔奇兵
51,[' Francis Ford Coppola'],The Godfather: Part Ⅱ,"['弗朗西斯·福特·科波拉', '阿尔·帕西诺', '美国', '剧情']",9.2,教父2
52,"['Roger Allers', ' Rob Minkoff']",The Lion King,"['罗伯·明可夫', '美国', '动画', '冒险']",9.0,狮子王
53,"[' Peter Jackson', ' Elijah Wood']",The Lord of the Rings: The Fellowship of the Ring,"['彼得·杰克逊', '伊利亚·伍德', '新西兰', '美国', '剧情', '动作', '奇幻']",9.0,指环王1：魔戒再现
54,"[' James McTeigue', ' Natalie']",V for Vendetta,"['詹姆斯·麦克特格', '娜塔莉·波特曼', '美国', '英国', '德国', '剧情', '动作', '科幻']",8.9,V字仇杀队
55,"[' Ron Howard', ' Russell Crowe']",A Beautiful Mind,"['朗·霍华德', '罗素·克劳', '美国', '传记']",9.0,美丽心灵
56,"[' Ang Lee', ' Sihung Lung', 'Mei Yang']",飲食男女,"['李安', '郎雄', '杨贵媚', '中国台湾', '美国', '剧情']",9.1,饮食男女
57,"[' Nadine Labaki', ' Zain', 'Rafeea']",كفرناحوم,"['娜丁·拉巴基', '扎因·拉费阿', '黎巴嫩', '法国', '美国']",9.1,何以为家
58,"[' Louie Psihoyos', 'Richard', 'Barry']",The Cove,"['路易·西霍尤斯', '美国']",9.3,海豚湾
59,"[' Shunji Iwai', ' Miho Nakayama']",Love Letter,"['岩井俊二', '中山美穗', '丰川悦司', '日本', '剧情']",8.9,情书
60,"[' Laiming Wan', ' Cheng  Tang', ' Yuefeng Qiu']",大闹天宫 上下集  /  The Monkey King,"['万籁鸣', '唐澄', '邱岳峰', '中国大陆', '动画']",9.3,大闹天宫
61,"[' Roman Polanski', ' Adrien']",The Pianist,"['罗曼·波兰斯基', '艾德里安·布洛迪', '法国', '德国', '英国', '波兰', '剧情', '传记', '历史', '战争']",9.1,钢琴家
62,"['Chris Columbus', 'Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",Harry Potter and the Sorcerer's Stone,"['美国', '英国', '奇幻']",8.9,哈利·波特与魔法石
63,"[' David Fincher', ' Cate Blanchett']",The Curious Case of Benjamin Button,"['大卫·芬奇', '凯特·布兰切特', '美国', '剧情', '爱情']",8.9,本杰明·巴顿奇事
64,"[' Oriol Paulo', ' Mario Casas']",Contratiempo,"['奥里奥尔·保罗', '马里奥·卡萨斯', '西班牙', '剧情', '犯罪', '悬疑']",8.8,看不见的客人
65,"[' Andy Wachowski', ' Lana Wachowski']",The Matrix,"['安迪·沃卓斯基', '拉娜·沃卓斯基', '美国', '澳大利亚', '动作']",8.9,黑客帝国
66,"[' Giuseppe Tornatore', ' Monica']",Malèna,"['朱塞佩·托纳多雷', '莫妮卡·贝鲁奇', '意大利', '美国', '剧情', '战争']",8.8,西西里的美丽传说
67,"[' Majid Majidi', ' Amir']",بچههای آسمان,"['马基德·马基迪', '法拉赫阿米尔·哈什米安', '伊朗', '剧情', '儿童']",9.2,小鞋子
68,"[' Wen Jiang', ' Wen Jiang', ' You Ge']",让子弹飞一会儿  /  火烧云,"['姜文', '姜文', '葛优', '周润发', '中国大陆', '中国香港', '剧情', '喜剧', '动作']",8.8,让子弹飞
69,"[' Sergio Leone', ' Robert De Niro']",Once Upon a Time in America,"['赛尔乔·莱翁内', '罗伯特·德尼罗', '意大利', '美国', '犯罪']",9.2,美国往事
70,"[' Steven Spielberg', ' Tom']",Saving Private Ryan,"['史蒂文·斯皮尔伯格', '汤姆·汉克斯', '美国', '剧情', '历史']",9.0,拯救大兵瑞恩
71,"[' Robert Wise', ' Julie Andrews']",The Sound of Music,"['罗伯特·怀斯', '朱莉·安德鲁斯', '美国', '剧情', '传记', '爱情']",9.0,音乐之声
72,[' Steven Spielberg'],Catch Me If You Can,"['史蒂文·斯皮尔伯格', '莱昂纳多·迪卡普里奥', '美国', '加拿大', '传记', '犯罪']",8.9,猫鼠游戏
73,"[' Christopher Nolan', ' Hugh']",The Prestige,"['克里斯托弗·诺兰', '休·杰克曼', '美国', '英国', '剧情', '悬疑']",8.8,致命魔术
74,"[' David Fincher', ' Morgan Freeman']",Se7en,"['大卫·芬奇', '摩根·弗里曼', '美国', '剧情', '犯罪', '悬疑']",8.8,七宗罪
75,"[' Tetsuya Nakashima', ' Miki Nakatani']",嫌われ松子の一生,"['中岛哲也', '中谷美纪', '瑛太', '日本', '剧情']",8.9,被嫌弃的松子的一生
76,"[' Quentin Tarantino', ' John']",Pulp Fiction,"['昆汀·塔伦蒂诺', '约翰·特拉沃尔塔', '美国', '剧情', '喜剧']",8.8,低俗小说
77,"[' Jonathan Demme', ' Jodie Foster']",The Silence of the Lambs,"['乔纳森·戴米', '朱迪·福斯特', '美国', '剧情', '犯罪']",8.8,沉默的羔羊
78,"[' Eric Bress', 'Mackye Gruber']",The Butterfly Effect,"['埃里克·布雷斯', '·麦基·格鲁伯', '美国', '加拿大', '剧情', '悬疑', '科幻']",8.8,蝴蝶效应
79,"[' Kar Wai Wong', ' Leslie Cheung', ' Tony']",春光乍洩,"['王家卫', '张国荣', '梁朝伟', '中国香港', '日本', '韩国', '剧情', '爱情']",8.9,春光乍泄
80,"[' Mark Herman', ' Asa Butterfield']",The Boy in the Striped Pajamas,"['马克·赫尔曼', '阿萨·巴特菲尔德', '英国', '美国', '剧情']",9.0,穿条纹睡衣的男孩
81,"[' Mel Gibson', ' Mel Gibson']",Braveheart,"['梅尔·吉布森', '梅尔·吉布森', '美国', '动作', '传记', '剧情', '历史']",8.9,勇敢的心
82,"['Pierre Jeunet', ' Audrey']",Le fabuleux destin d'Amélie Poulain,"['皮埃尔·热内', '奥黛丽·塔图', '法国', '德国', '喜剧']",8.7,天使爱美丽
83,"[' Tim Burton', ' Johnny Depp']",Edward Scissorhands,"['蒂姆·波顿', '约翰尼·德普', '美国', '剧情', '奇幻']",8.7,剪刀手爱德华
84,"[' Gus Van Sant', ' Matt Damon']",Good Will Hunting,"['格斯·范·桑特', '马特·达蒙', '美国']",8.8,心灵捕手
85,"['Martin Scorsese', ' Leonardo DiCaprio']",Shutter Island,"['莱昂纳多·迪卡普里奥', '美国', '剧情', '悬疑']",8.8,禁闭岛
86,"[' Wes Anderson', ' Ralph Fiennes']",The Grand Budapest Hotel,"['韦斯·安德森', '拉尔夫·费因斯', '美国', '德国', '英国', '剧情', '喜剧']",8.8,布达佩斯大饭店
87,"[' James Cameron', ' Sam Worthington']",Avatar,"['詹姆斯·卡梅隆', '萨姆·沃辛顿', '美国', '英国', '动作', '战争', '科幻']",8.7,阿凡达
88,"[' Takita', ' Masahiro Motoki']",おくりびと,"['泷田洋二郎', '本木雅弘', '日本']",8.8,入殓师
89,"[' Hayao Miyazaki', ' Matsuda']",もののけ姫,"['宫崎骏', '松田洋治', '日本', '动画', '奇幻']",8.9,幽灵公主
90,"[' Gore Verbinski', ' Johnny Depp']",Pirates of the Caribbean: The Curse of the Black Pearl,"['戈尔·维宾斯基', '约翰尼·德普', '美国', '动作', '冒险']",8.7,加勒比海盗
91,"[' Charles Chaplin', ' Charles Chaplin']",Modern Times,"['查理·卓别林', '查理·卓别林', '美国', '剧情', '喜剧']",9.3,摩登时代
92,"['James Mangold', 'John Cusack', 'Ray Liotta', 'Amanda Peet']",Identity,"['美国', '剧情', '悬疑']",8.7,致命ID
93,"[' Ang Lee', ' Heath Ledger']",Brokeback Mountain,"['李安', '希斯·莱杰', '杰克·吉伦哈尔', '美国', '加拿大', '剧情', '爱情', '同性']",8.7,断背山
